Start,Steps,Max Value,Even Steps,Odd Steps
38103,199,257200,128,71
74461,94,223384,64,30
89931,164,404692,107,57
6802,88,39364,59,29
72268,50,81304,37,13
48137,70,520504,49,21
23626,126,345544,83,43
82874,120,124312,80,40
72593,94,217780,64,30
77053,161,438856,105,56
44262,163,99592,106,57
1543,109,10420,71,38
21678,43,73168,32,11
46733,83,140200,57,26
50344,65,50344,46,19
39082,44,58624,33,11
62857,135,1290328,89,46
93106,146,157120,96,50
88859,208,5764660,134,74
19066,53,28600,38,15
83461,151,250384,99,52
88093,45,264280,34,11
54694,153,123064,100,53
26963,90,345544,61,29
28296,33,28296,26,7
13808,45,13808,33,12
42349,132,127048,87,45
26433,139,79300,91,48
83286,151,187396,99,52
91793,71,275380,50,21
57855,210,4448356,135,75
40263,119,515968,79,40
37081,93,125152,63,30
1325,26,3976,20,6
91268,71,91268,50,21
35910,49,80800,36,13
89340,71,508840,50,21
19871,118,381976,78,40
34579,111,155608,74,37
72125,94,216376,64,30
26791,69,514996,48,21
25290,157,37936,102,55
55130,153,82696,100,53
93715,133,2564944,88,45
94247,177,715696,115,62
15486,115,176416,76,39
44483,119,200176,79,40
86189,151,258568,99,52
4749,77,14248,52,25
86770,156,3166504,102,54
9436,60,15928,42,18
3710,118,42280,77,41
30356,72,30356,50,22
55772,60,94120,43,17
57800,47,57800,35,12
13117,107,95956,71,36
25471,95,870424,64,31
42345,150,321568,98,52
42919,150,412504,98,52
52225,140,156676,92,48
39299,49,176848,36,13
80220,94,135376,64,30
61630,60,468016,43,17
66041,174,1355668,113,61
99519,97,2267188,66,31
99836,89,852928,61,28
28017,33,84052,26,7
23961,188,138400,121,67
33592,67,71764,47,20
82849,151,248548,99,52
67642,205,146500,132,73
36396,124,897856,82,42
22701,131,68104,86,45
34621,173,103864,112,61
20560,30,20560,24,6
93046,177,235528,115,62
93397,40,280192,31,9
61643,135,277396,89,46
76540,200,1276936,129,71
21733,162,65200,105,57
91363,32,411136,26,6
30355,178,136600,115,63
13844,151,13844,98,53
71727,99,1163320,67,32
17641,141,133972,92,49
52529,78,157588,54,24
38414,199,129652,128,71
52639,202,1280608,130,72
52737,127,168964,84,43
68867,81,330964,56,25
19088,105,39364,70,35
41431,181,279664,117,64
24505,64,82708,45,19
7115,57,32020,40,17
78860,63,94768,45,18
99658,66,319300,47,19
10976,130,10976,85,45
11024,130,11024,85,45
21448,48,21448,35,13
90470,115,203560,77,38
23960,51,23960,37,14
66204,122,2324752,81,41
29704,72,29704,50,22
9338,34,14008,26,8
46428,176,78352,114,62
61530,148,92296,97,51
84666,58,127000,42,16
31922,98,53872,66,32
33308,67,56212,47,20
27356,152,46168,99,53
4836,59,13120,41,18
20160,43,20160,32,11
47606,83,305044,57,26
38089,36,192832,28,8
78753,50,236260,37,13
55285,60,165856,43,17
57044,52,57044,38,14
35548,98,59992,66,32
97008,146,97008,96,50
82845,63,248536,45,18
27533,108,82600,72,36
34350,129,115936,85,44
45446,83,102256,57,26
5714,173,32560,111,62
56179,47,252808,35,12
49408,127,49408,84,43
70341,130,211024,86,44
50991,202,662416,130,72
75673,63,255400,45,18
